"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
"Total","Other bacterial diseases","A30-A49",,,,,445110,2665209253,16.7,16.7,16.7,13.4,13.3,13.4
,"Influenza and pneumonia","J09-J18","2018","2018","American Indian or Alaska Native","1002-5",391,4147521,9.4,8.5,10.4,12.4,11.1,13.8
,"Influenza and pneumonia","J09-J18","2018","2018","Asian","A",1709,19330600,8.8,8.4,9.3,9.4,8.9,9.8
,"Influenza and pneumonia","J09-J18","2018","2018","Black or African American","2054-5",6599,43804319,15.1,14.7,15.4,16.7,16.3,17.1
,"Influenza and pneumonia","J09-J18","2018","2018","Native Hawaiian or Other Pacific Islander","NHOPI",76,799418,9.5,7.5,11.9,13.4,10.4,17.1
,"Influenza and pneumonia","J09-J18","2018","2018","White","2106-3",38423,250139096,15.4,15.2,15.5,11.5,11.4,11.6
,"Influenza and pneumonia","J09-J18","2018","2018","More than one race","M",196,8946480,2.2,1.9,2.5,4.8,4.1,5.6
,"Influenza and pneumonia","J09-J18","2018","2018","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2018","2018",,,47394,327167434,14.5,14.4,14.6,11.9,11.8,12.0
,"Influenza and pneumonia","J09-J18","2019","2019","American Indian or Alaska Native","1002-5",402,4188092,9.6,8.7,10.5,12.0,10.8,13.3
,"Influenza and pneumonia","J09-J18","2019","2019","Asian","A",1694,19504862,8.7,8.3,9.1,8.8,8.4,9.3
,"Influenza and pneumonia","J09-J18","2019","2019","Black or African American","2054-5",6355,44075086,14.4,14.1,14.8,15.6,15.2,16.0
,"Influenza and pneumonia","J09-J18","2019","2019","Native Hawaiian or Other Pacific Islander","NHOPI",73,806937,9.0,7.1,11.4,11.6,9.0,14.8
,"Influenza and pneumonia","J09-J18","2019","2019","White","2106-3",36721,250522190,14.7,14.5,14.8,10.9,10.7,11.0
,"Influenza and pneumonia","J09-J18","2019","2019","More than one race","M",206,9142356,2.3,1.9,2.6,4.8,4.1,5.5
,"Influenza and pneumonia","J09-J18","2019","2019","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2019","2019",,,45451,328239523,13.8,13.7,14.0,11.2,11.1,11.3
,"Influenza and pneumonia","J09-J18","2020","2020","American Indian or Alaska Native","1002-5",769,4292990,17.9,16.6,19.2,21.1,19.5,22.7
,"Influenza and pneumonia","J09-J18","2020","2020","Asian","A",2759,20012278,13.8,13.3,14.3,13.5,13.0,14.0
,"Influenza and pneumonia","J09-J18","2020","2020","Black or African American","2054-5",11035,44531112,24.8,24.3,25.2,26.1,25.6,26.6
,"Influenza and pneumonia","J09-J18","2020","2020","Native Hawaiian or Other Pacific Islander","NHOPI",147,843693,17.4,14.6,20.2,21.7,18.2,25.7
,"Influenza and pneumonia","J09-J18","2020","2020","White","2106-3",53429,250309724,21.3,21.2,21.5,15.6,15.5,15.8
,"Influenza and pneumonia","J09-J18","2020","2020","More than one race","M",302,9494326,3.2,2.8,3.5,6.8,6.0,7.7
,"Influenza and pneumonia","J09-J18","2020","2020","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2020","2020",,,68441,329484123,20.8,20.6,20.9,16.6,16.5,16.7
,"Influenza and pneumonia","J09-J18","2021","2021","American Indian or Alaska Native","1002-5",876,4367540,20.1,18.7,21.4,22.8,21.2,24.4
,"Influenza and pneumonia","J09-J18","2021","2021","Asian","A",3014,20350483,14.8,14.3,15.3,14.5,14.0,15.0
,"Influenza and pneumonia","J09-J18","2021","2021","Black or African American","2054-5",12002,45060857,26.6,26.2,27.1,27.9,27.4,28.4
,"Influenza and pneumonia","J09-J18","2021","2021","Native Hawaiian or Other Pacific Islander","NHOPI",216,863043,25.0,21.7,28.4,28.9,25.1,33.3
,"Influenza and pneumonia","J09-J18","2021","2021","White","2106-3",62749,251461611,25.0,24.8,25.1,19.0,18.9,19.2
,"Influenza and pneumonia","J09-J18","2021","2021","More than one race","M",482,9790211,4.9,4.5,5.4,9.8,8.9,10.8
,"Influenza and pneumonia","J09-J18","2021","2021","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2021","2021",,,79339,331893745,23.9,23.7,24.1,19.7,19.5,19.8
,"Influenza and pneumonia","J09-J18","2022","2022","American Indian or Alaska Native","1002-5",631,4382234,14.4,13.3,15.5,16.4,15.1,17.8
,"Influenza and pneumonia","J09-J18","2022","2022","Asian","A",2463,20953941,11.8,11.3,12.2,11.2,10.8,11.7
,"Influenza and pneumonia","J09-J18","2022","2022","Black or African American","2054-5",8977,45399743,19.8,19.4,20.2,20.6,20.1,21.0
,"Influenza and pneumonia","J09-J18","2022","2022","Native Hawaiian or Other Pacific Islander","NHOPI",119,878808,13.5,11.1,16.0,15.9,13.1,19.2
,"Influenza and pneumonia","J09-J18","2022","2022","White","2106-3",48171,251602174,19.1,19.0,19.3,13.9,13.8,14.0
,"Influenza and pneumonia","J09-J18","2022","2022","More than one race","M",345,10070657,3.4,3.1,3.8,6.5,5.8,7.3
,"Influenza and pneumonia","J09-J18","2022","2022","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2022","2022",,,60706,333287557,18.2,18.1,18.4,14.4,14.3,14.5
,"Influenza and pneumonia","J09-J18","2023","2023","American Indian or Alaska Native","1002-5",497,4486417,11.1,10.1,12.1,12.7,11.5,13.9
,"Influenza and pneumonia","J09-J18","2023","2023","Asian","A",2212,21386914,10.3,9.9,10.8,9.7,9.3,10.1
,"Influenza and pneumonia","J09-J18","2023","2023","Black or African American","2054-5",7156,45757433,15.6,15.3,16.0,16.2,15.8,16.6
,"Influenza and pneumonia","J09-J18","2023","2023","Native Hawaiian or Other Pacific Islander","NHOPI",85,899815,9.4,7.5,11.7,11.4,9.1,14.3
,"Influenza and pneumonia","J09-J18","2023","2023","White","2106-3",40660,252065704,16.1,16.0,16.3,11.7,11.6,11.8
,"Influenza and pneumonia","J09-J18","2023","2023","More than one race","M",285,10318612,2.8,2.4,3.1,5.4,4.8,6.1
,"Influenza and pneumonia","J09-J18","2023","2023","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2023","2023",,,50895,334914895,15.2,15.1,15.3,12.0,11.9,12.1
,"Influenza and pneumonia","J09-J18","2024","2024","American Indian or Alaska Native","1002-5",451,4743298,9.5,8.6,10.4,10.8,9.8,11.9
,"Influenza and pneumonia","J09-J18","2024","2024","Asian","A",2174,22825008,9.5,9.1,9.9,8.9,8.6,9.3
,"Influenza and pneumonia","J09-J18","2024","2024","Black or African American","2054-5",7592,46608846,16.3,15.9,16.7,16.5,16.2,16.9
,"Influenza and pneumonia","J09-J18","2024","2024","Native Hawaiian or Other Pacific Islander","NHOPI",114,939712,12.1,9.9,14.4,13.8,11.3,16.7
,"Influenza and pneumonia","J09-J18","2024","2024","White","2106-3",40033,254281598,15.7,15.6,15.9,11.2,11.1,11.4
,"Influenza and pneumonia","J09-J18","2024","2024","More than one race","M",308,10712526,2.9,2.6,3.2,5.5,4.9,6.2
,"Influenza and pneumonia","J09-J18","2024","2024","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2024","2024",,,50672,340110988,14.9,14.8,15.0,11.6,11.5,11.7
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","American Indian or Alaska Native","1002-5",412,4743298,8.7,7.8,9.5,9.9,9.0,10.9
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Asian","A",2165,22825008,9.5,9.1,9.9,8.9,8.5,9.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Black or African American","2054-5",7551,46608846,16.2,15.8,16.6,16.5,16.1,16.9
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Native Hawaiian or Other Pacific Islander","NHOPI",119,939712,12.7,10.4,14.9,14.8,12.2,17.8
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","White","2106-3",40285,254281598,15.8,15.7,16.0,11.3,11.2,11.4
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","More than one race","M",287,10712526,2.7,2.4,3.0,5.0,4.4,5.7
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Influenza and pneumonia","J09-J18","2025 (provisional)","2025",,,50819,340110988,14.9,14.8,15.1,11.6,11.5,11.8
"Total","Influenza and pneumonia","J09-J18",,,,,453717,2665209253,17.0,17.0,17.1,13.6,13.6,13.7
"Total",,,,,,,898827,2665209253,33.7,33.7,33.8,26.9,26.9,27.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: J12.0 (Adenoviral pneumonia); J12.1 (Respiratory syncytial virus pneumonia); J12.2 (Parainfluenza virus"
"pneumonia); J12.3 (Human metapneumovirus pneumonia); J12.8 (Other viral pneumonia); J12.9 (Viral pneumonia, unspecified); J13"
"(Pneumonia due to Streptococcus pneumoniae); J14 (Pneumonia due to Haemophilus influenzae); J15.0 (Pneumonia due to Klebsiella"
"pneumoniae); J15.1 (Pneumonia due to Pseudomonas); J15.2 (Pneumonia due to staphylococcus); J15.3 (Pneumonia due to"
"streptococcus, group B); J15.4 (Pneumonia due to other streptococci); J15.5 (Pneumonia due to Escherichia coli); J15.6"
"(Pneumonia due to other aerobic Gram-negative bacteria); J15.7 (Pneumonia due to Mycoplasma pneumoniae); J15.8 (Other bacterial"
"pneumonia); J15.9 (Bacterial pneumonia, unspecified); J16.0 (Chlamydial pneumonia); J16.8 (Pneumonia due to other specified"
"infectious organisms); J18.0 (Bronchopneumonia, unspecified); J18.1 (Lobar pneumonia, unspecified); J18.2 (Hypostatic pneumonia,"
"unspecified); J18.8 (Other pneumonia, organism unspecified); J18.9 (Pneumonia, unspecified)"
"Year/Month: 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025 (provisional)"
"Group By: MCD - ICD Sub-Chapter; Year; Single Race 6"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Apr 9, 2026 6:22:30 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Apr 9, 2026"
"6:22:30 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. These items in the results table are not fully selected: Other bacterial diseases, Influenza and pneumonia. The Query"
"Description lists the actual values selected."
"2. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"3. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"4. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"5. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"6. The population estimates for years 2022 - 2026 are from separate series of estimates based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). Each subsequent series of estimates adjusts the methodology. The"
"population figures for years 2024 and later are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 26, 2025. The population figures for year 2023 are single-race estimates"
"of the July 1 resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The"
"population figures for year 2022 are single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal"
"series released by the Census Bureau on June 22, 2023. The population figures for year 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are"
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full"
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in"
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"10. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"11. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"12. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"13. Deaths related to external causes of injury or sudden death: In the provisional mortality data, causes of death classified"
"as external causes of injury (ICD-10 codes V01-Y89), sudden deaths (ICD-10 codes R95 and R96), or drug poisoning (ICD-10 codes"
"T36-T50), have the cause of death labeled as 'Data not shown due to 6 month lag to account for delays in death certificate"
"completion for certain causes of death.' For these deaths occurring 24 weeks prior to the final date in the provisional data,"
"the number of deaths and related statistics are not available by specific cause of death for ICD-10 codes V01-Y89, R95, R96, or"
"T36-T50. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#999."
"14. Deaths occurring through March 28, 2026 as of April 05, 2026."
