"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","15-24 years","15-24",70,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","25-34 years","25-34",125,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","35-44 years","35-44",259,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","45-54 years","45-54",658,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","55-64 years","55-64",1169,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","65-74 years","65-74",1861,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","75-84 years","75-84",3771,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","85+ years","85+",5848,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","< 1 year","1",48,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","1-4 years","1-4",29,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","5-14 years","5-14",28,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","15-24 years","15-24",69,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","25-34 years","25-34",124,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","35-44 years","35-44",251,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","45-54 years","45-54",738,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","55-64 years","55-64",1338,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","65-74 years","65-74",2123,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","75-84 years","75-84",4250,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03","85+ years","85+",6502,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","< 1 year","1",33,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","1-4 years","1-4",33,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","5-14 years","5-14",26,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","15-24 years","15-24",62,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","25-34 years","25-34",110,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","35-44 years","35-44",210,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","45-54 years","45-54",580,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","55-64 years","55-64",1191,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","65-74 years","65-74",1836,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","75-84 years","75-84",3579,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04","85+ years","85+",5551,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","< 1 year","1",31,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","1-4 years","1-4",23,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","5-14 years","5-14",16,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","15-24 years","15-24",58,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","25-34 years","25-34",125,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","35-44 years","35-44",213,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","45-54 years","45-54",571,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","55-64 years","55-64",1195,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","65-74 years","65-74",1717,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","75-84 years","75-84",3461,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","85+ years","85+",5093,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","< 1 year","1",29,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","1-4 years","1-4",17,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","5-14 years","5-14",14,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","15-24 years","15-24",52,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","25-34 years","25-34",80,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","35-44 years","35-44",206,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","45-54 years","45-54",549,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","55-64 years","55-64",1075,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","65-74 years","65-74",1609,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","75-84 years","75-84",3126,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06","85+ years","85+",4679,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","< 1 year","1",24,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","1-4 years","1-4",18,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","5-14 years","5-14",18,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","15-24 years","15-24",59,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","25-34 years","25-34",83,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","35-44 years","35-44",169,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","45-54 years","45-54",530,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","55-64 years","55-64",1033,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","65-74 years","65-74",1666,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","75-84 years","75-84",3206,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07","85+ years","85+",4666,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","< 1 year","1",24,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","1-4 years","1-4",14,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","5-14 years","5-14",10,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","15-24 years","15-24",47,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","25-34 years","25-34",80,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","35-44 years","35-44",206,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","45-54 years","45-54",506,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","55-64 years","55-64",1026,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","65-74 years","65-74",1700,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","75-84 years","75-84",2956,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08","85+ years","85+",4385,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","< 1 year","1",32,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","1-4 years","1-4",12,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","15-24 years","15-24",46,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","25-34 years","25-34",84,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","35-44 years","35-44",207,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","45-54 years","45-54",533,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","55-64 years","55-64",1088,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","65-74 years","65-74",1626,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","75-84 years","75-84",3083,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09","85+ years","85+",4649,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","< 1 year","1",23,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","1-4 years","1-4",11,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","5-14 years","5-14",17,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","15-24 years","15-24",45,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","25-34 years","25-34",107,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","35-44 years","35-44",206,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","45-54 years","45-54",581,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","55-64 years","55-64",1155,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","65-74 years","65-74",1799,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","75-84 years","75-84",3318,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","85+ years","85+",5274,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","< 1 year","1",37,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","1-4 years","1-4",17,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","5-14 years","5-14",16,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","15-24 years","15-24",51,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","25-34 years","25-34",99,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","35-44 years","35-44",227,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","45-54 years","45-54",584,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","55-64 years","55-64",1164,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","65-74 years","65-74",1846,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","75-84 years","75-84",3518,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","85+ years","85+",5480,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","< 1 year","1",22,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","1-4 years","1-4",31,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","15-24 years","15-24",73,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","25-34 years","25-34",112,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","35-44 years","35-44",228,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","45-54 years","45-54",701,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","55-64 years","55-64",1371,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","65-74 years","65-74",2005,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","75-84 years","75-84",4035,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","85+ years","85+",6396,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","< 1 year","1",46,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","1-4 years","1-4",29,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","5-14 years","5-14",28,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","15-24 years","15-24",89,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","25-34 years","25-34",159,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","35-44 years","35-44",293,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","45-54 years","45-54",844,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","55-64 years","55-64",1544,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","65-74 years","65-74",2266,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","75-84 years","75-84",4597,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","85+ years","85+",7572,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","< 1 year","1",38,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","1-4 years","1-4",38,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","5-14 years","5-14",39,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","15-24 years","15-24",75,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","25-34 years","25-34",168,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","35-44 years","35-44",339,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","45-54 years","45-54",829,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","55-64 years","55-64",1475,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","65-74 years","65-74",2161,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","75-84 years","75-84",4239,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02","85+ years","85+",6824,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","< 1 year","1",45,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","1-4 years","1-4",25,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","5-14 years","5-14",30,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","15-24 years","15-24",74,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","25-34 years","25-34",160,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","35-44 years","35-44",293,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","45-54 years","45-54",850,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","55-64 years","55-64",1519,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","65-74 years","65-74",2281,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","75-84 years","75-84",4361,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03","85+ years","85+",6901,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","< 1 year","1",40,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","5-14 years","5-14",25,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","15-24 years","15-24",54,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","25-34 years","25-34",133,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","35-44 years","35-44",205,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","45-54 years","45-54",624,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","55-64 years","55-64",1244,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","65-74 years","65-74",1942,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","75-84 years","75-84",3677,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04","85+ years","85+",5866,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","< 1 year","1",33,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","1-4 years","1-4",14,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","15-24 years","15-24",55,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","25-34 years","25-34",86,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","35-44 years","35-44",185,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","45-54 years","45-54",651,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","55-64 years","55-64",1291,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","65-74 years","65-74",1851,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","75-84 years","75-84",3574,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","85+ years","85+",5540,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","< 1 year","1",32,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","1-4 years","1-4",15,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","15-24 years","15-24",43,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","25-34 years","25-34",98,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","35-44 years","35-44",180,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","45-54 years","45-54",573,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","55-64 years","55-64",1186,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","65-74 years","65-74",1782,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","75-84 years","75-84",3196,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","85+ years","85+",4864,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","< 1 year","1",21,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","15-24 years","15-24",51,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","25-34 years","25-34",91,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","35-44 years","35-44",185,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","45-54 years","45-54",564,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","55-64 years","55-64",1047,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07","65-74 years","65-74",1692,Not Applicable,Not Applicable
